"key"
"%-"
"%)"
"(("
"()"
"./"
"/\"
":'"
":$"
":("
":("
":)"
":)"
":)"
":*"
":@"
":@"
":["
":|"
":~"
":>"
":0"
":3"
":D"
":O"
":O"
":P"
":s"
";)"
"??"
"??"
"@="
"^^"
"^5"
"<3"
"<3"
"=)"
">-"
"><"
"8)"
"8)"
"8^"
"DX"
"L."
"o/"
"QQ"
"X("
"X["
"XD"
"XD"
"!-("
"# -"
"#-)"
"#-)"
"#-o"
"$_$"
"%%-"
"%-("
"%')"
"%-)"
"%-)"
"%-)"
"%-)"
"%-)"
"%-)"
"%:O"
"%-\"
"%-|"
"%-}"
"%+|"
"%7<"
"%OD"
"(%)"
"(&)"
"(:-"
"(-:"
"(-:"
"(-:"
"(-:"
"(-:"
"(:)"
"(:I"
"(:I"
"(@)"
"(@)"
"(^)"
"({)"
"(~)"
"(a)"
"(b)"
"(c)"
"(e)"
"(g)"
"(h)"
"(i)"
"(o)"
"(p)"
"(U)"
"(x)"
"(z)"
")-:"
"*-("
"*-*"
"*:*"
"._."
"/:("
":-'"
": ="
":-!"
":-!"
":"")"
":"")"
":-#"
":-#"
":-#"
":#)"
":-$"
":-$"
":-$"
":$)"
":-%"
":-%"
":-%"
":-%"
":%)"
":'("
":-("
":-("
":-("
":-("
":(&"
":(("
":()"
":-)"
":-)"
":-)"
":-)"
":)#"
":))"
":)X"
":-*"
":*("
":*("
":*)"
":*)"
":*)"
":*)"
":*)"
":*)"
":-,"
":-/"
":-/"
":-/"
"://"
":-@"
":-@"
":@)"
":-["
":-["
":-\"
":-]"
":-]"
":-]"
":^)"
":^)"
":^o"
":-{"
":-{"
":-{"
":-|"
":-|"
":-|"
":-|"
":-|"
":-}"
":-}"
":~)"
":+("
":-<"
":=)"
":->"
":->"
":->"
":->"
":->"
":->"
":>)"
":>)"
":-0"
":-3"
":-6"
":7/"
":8]"
":-9"
":-9"
":-B"
":-c"
":-c"
":-c"
":-D"
":-D"
":-D"
":-D"
":-D"
":-D"
":D<"
":-E"
":-E"
":-E"
":-E"
":-E"
":-e"
":-E"
":-I"
":-I"
":-o"
":-O"
":-o"
":-O"
":O$"
":o)"
":O)"
":O)"
":O/"
":O?"
":-P"
":-P"
":-Q"
":-r"
":-s"
":-s"
":-S"
":-S"
":-S"
":-t"
":-t"
":-T"
":-X"
":-X"
":-X"
":-X"
":-X"
":-Z"
";-("
";-)"
";-,"
";;)"
";_;"
";->"
";-D"
"?-("
"?-:"
"?_?"
"?_?"
"@-)"
"@_@"
"@=)"
"[_]"
"\_/"
"\_/"
"\~/"
"\-o"
"\o/"
"^.^"
"^?^"
"^-^"
"^^;"
"^j^"
"^v^"
"`-`"
"{ }"
"{}{"
"|-)"
"|-)"
"|-)"
"|_|"
"|_P"
"|-|"
"|-D"
"|-I"
"|-O"
"}|{"
"}=D"
"}i{"
"~:>"
"~:0"
"~:O"
"~o)"
"~O~"
"~X("
"</3"
"<:I"
"<><"
"<><"
"<u3"
"='("
"=(("
"=+="
"=D>"
"=P~"
">-)"
">:)"
">:)"
">:)"
">;3"
">O<"
"0-)"
"0=)"
"2:)"
"8-#"
"8-)"
"8-)"
"8-)"
"8-)"
